
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.500
  alpha =   19.052    CLtot =    1.000
  beta  =    0.000

  Sref  =     4.00000
  Bref  =     4.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.590576         0.185495    
    0.0357  0.563265         0.170926    
    0.1071  0.510714         0.143803    
    0.1786  0.461096         0.119262    
    0.2500  0.412897         0.971899E-01
    0.3214  0.365680         0.775279E-01
    0.3929  0.319276         0.602301E-01
    0.4643  0.273649         0.452565E-01
    0.5357  0.228871         0.325660E-01
    0.6071  0.185124         0.221110E-01
    0.6786  0.142742         0.138312E-01
    0.7500  0.102285         0.764330E-02
    0.8214  0.646795E-01     0.342681E-02
    0.8929  0.314606E-01     0.998903E-03
    0.9643  0.539598E-02     0.681345E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.590575        -0.185495    
   -0.0357  0.563264        -0.170925    
   -0.1071  0.510713        -0.143803    
   -0.1786  0.461096        -0.119261    
   -0.2500  0.412896        -0.971897E-01
   -0.3214  0.365680        -0.775277E-01
   -0.3929  0.319276        -0.602299E-01
   -0.4643  0.273649        -0.452564E-01
   -0.5357  0.228870        -0.325658E-01
   -0.6071  0.185123        -0.221109E-01
   -0.6786  0.142741        -0.138311E-01
   -0.7500  0.102285        -0.764324E-02
   -0.8214  0.646790E-01    -0.342677E-02
   -0.8929  0.314602E-01    -0.998888E-03
   -0.9643  0.539586E-02    -0.681330E-04
   -1.0000   0.00000          0.00000    
