
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.753
  alpha =    4.775    CLtot =    0.481
  beta  =    0.000

  Sref  =    96.00000
  Bref  =    60.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.239230         0.537523E-01
    0.0417  0.231392         0.488233E-01
    0.1250  0.212848         0.395178E-01
    0.2014  0.190515         0.317728E-01
    0.2708  0.167742         0.255191E-01
    0.3403  0.145337         0.200541E-01
    0.4097  0.123848         0.153553E-01
    0.4792  0.103516         0.113865E-01
    0.5486  0.844848E-01     0.810480E-02
    0.6181  0.668523E-01     0.546311E-02
    0.6875  0.506923E-01     0.341129E-02
    0.7569  0.360664E-01     0.189686E-02
    0.8264  0.230333E-01     0.865229E-03
    0.8958  0.116650E-01     0.259546E-03
    0.9653  0.213588E-02     0.186417E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.239230        -0.537523E-01
   -0.0417  0.231392        -0.488233E-01
   -0.1250  0.212848        -0.395178E-01
   -0.2014  0.190515        -0.317728E-01
   -0.2708  0.167742        -0.255191E-01
   -0.3403  0.145337        -0.200541E-01
   -0.4097  0.123848        -0.153553E-01
   -0.4792  0.103516        -0.113865E-01
   -0.5486  0.844848E-01    -0.810480E-02
   -0.6181  0.668523E-01    -0.546311E-02
   -0.6875  0.506923E-01    -0.341129E-02
   -0.7569  0.360664E-01    -0.189686E-02
   -0.8264  0.230333E-01    -0.865229E-03
   -0.8958  0.116650E-01    -0.259546E-03
   -0.9653  0.213588E-02    -0.186417E-04
   -1.0000   0.00000          0.00000    
